title,adam_enjoys_reading,kids_join_in,family_mean,dominant_device,explicit_verbal_play,source_note,source_url
The Cat in the Hat,4,4,4.0,narrative_rhyme,0,"Publisher foregrounds a constrained-vocabulary story and read-aloud appeal rather than a verbal challenge.","https://www.penguinrandomhouse.com/books/719576/dr-seusss-ultimate-beginning-reader-boxed-set-collection-by-dr-seuss/"
The Cat in the Hat Comes Back,3,3,3.0,narrative,0,"Publisher foregrounds the escalating pink-stain story and describes it as a read-aloud choice.","https://www.penguinrandomhouse.com/books/43145/the-cat-in-the-hat-comes-back-by-dr-seuss/"
Dr. Seuss's ABC,1,3,2.0,alliteration_alphabet,0,"Official teaching guide identifies alliteration as the book's characteristic device.","https://images.penguinrandomhouse.com/promo_image/9780394800011_7637.pdf"
The Foot Book,1,1,1.0,rhyming_opposites,0,"Publisher describes a world of rhyming opposites.","https://www.penguinrandomhouse.com/books/43153/the-foot-book-by-dr-seuss/"
Fox in Socks,5,5,5.0,tongue_twisters,1,"Publisher explicitly foregrounds tongue twisters, twisted words and rhyme.","https://www.penguinrandomhouse.com/books/43010/fox-in-socks-by-dr-seuss/"
Green Eggs and Ham,5,5,5.0,cumulative_tongue_twisters,1,"Publisher describes tongue twisters and an accumulating list; official teaching guide identifies a cumulative tale.","https://www.penguinrandomhouse.com/books/43017/green-eggs-and-ham-by-dr-seuss/"
Hop on Pop,5,5,5.0,phonics_rhyme_rhythm,1,"Publisher foregrounds witty wordplay, short simple words, silly rhymes and rollicking rhythm.","https://www.penguinrandomhouse.com/books/43028/hop-on-pop-by-dr-seuss/"
I Can Read with My Eyes Shut!,4,5,4.5,reading_performance,0,"Publisher foregrounds showing off emerging reading skills rather than a specific word-game device.","https://www.penguinrandomhouse.com/books/43068/i-can-read-with-my-eyes-shut-by-dr-seuss/"
Marvin K. Mooney Will You Please Go Now!,2,3,2.5,merry_verse,0,"Publisher foregrounds merry verse and the escalating ways Marvin could leave.","https://www.penguinrandomhouse.com/books/43081/marvin-k-mooney-will-you-please-go-now-by-dr-seuss/"
Mr. Brown Can Moo! Can You?,3,3,3.0,sound_imitation,0,"Publisher/library description foregrounds imitation of noises and direct participation.","https://www.seussville.com/book/43083/mr-brown-can-moo-can-you/"
Oh, the Thinks You Can Think!,2,4,3.0,imagination,0,"Publisher foregrounds imaginative thinking rather than a verbal challenge.","https://www.penguinrandomhouse.com/books/43101/oh-the-thinks-you-can-think-by-dr-seuss/"
Oh, Say Can You Say?,5,5,5.0,tongue_twisters,1,"Publisher explicitly describes words designed to twist the lips and tongue teasers to tackle.","https://www.penguinrandomhouse.com/books/43091/oh-say-can-you-say-by-dr-seuss/"
One Fish Two Fish Red Fish Blue Fish,5,5,5.0,rhyme_wordplay,1,"Official teaching guide highlights rhyme, rhythm and made-up rhyming words; publisher highlights silly rhymes.","https://images.penguinrandomhouse.com/promo_image/9780394800011_7637.pdf"
The Shape of Me and Other Stuff,3,3,3.0,concept_rhyme,0,"Publisher describes a rhyming exploration of shapes.","https://www.penguinrandomhouse.com/books/43166/the-shape-of-me-and-other-stuff-by-dr-seuss/"
There's a Wocket in My Pocket!,3,4,3.5,rhyme_wordplay,1,"Publisher explicitly foregrounds ridiculous rhymes, wild words and wordplay.","https://www.penguinrandomhouse.com/books/43162/theres-a-wocket-in-my-pocket-by-dr-seuss/"
What Pet Should I Get?,5,5,5.0,decision_story,0,"Publisher foregrounds the repeated decision over which pet to choose and directly asks which pet the reader would get.","https://www.penguinrandomhouse.com/books/249167/what-pet-should-i-get-by-dr-seuss/"
